date,home_team,away_team,home_score,away_score,round,"home_winner
",home_loss,home_draw
2019-11-09,PAL,COR,1,1,32,0,0,1
2019-11-09,GOI,SAN,0,3,32,0,1,0
2019-11-10,FLA,BAH,3,1,32,1,0,0
2019-11-10,INT,FLU,2,1,32,1,0,0
2019-11-10,CSA,VAS,0,3,32,0,1,0
2019-11-10,CRU,ATLMG,0,0,32,0,0,1
2019-11-10,CHA,GRE,0,1,32,0,1,0
2019-11-10,SAO,ATLPR,0,1,32,0,1,0
2019-11-10,FOR,CEA,1,0,32,1,0,0
2019-11-11,BOT,AVA,2,0,32,1,0,0
2019-11-16,SAN,SAO,NA,NA,33,0,0,1
2019-11-16,FLU,ATLMG,NA,NA,33,0,0,1
2019-11-17,GRE,FLA,NA,NA,33,0,0,1
2019-11-17,ATLPR,BOT,NA,NA,33,0,0,1
2019-11-17,BAH,PAL,NA,NA,33,0,0,1
2019-11-17,COR,INT,NA,NA,33,0,0,1
2019-11-17,FOR,CSA,NA,NA,33,0,0,1
2019-11-17,CHA,CEA,NA,NA,33,0,0,1
2019-11-18,VAS,GOI,NA,NA,33,0,0,1
2019-11-18,CRU,AVA,NA,NA,33,0,0,1
